"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SH.TBL01NL","SH.TBL02NL","SH.TBL04NL","SH.TBL05NL","SH.TBL06NL","SH.TBL07NL","SH.TBL08NL","SH.TBL09NL","SH.TBL10NL","SH.TBL11NL","SH.TBL13NL","SH.TBL14NL","SH.TBL15NL","SH.TBL01C","SH.TBL01I","SH.TBL01E","SH.TBL02I","SH.TBL02E","SH.TBL04C","SH.TBL04I","SH.TBL04E","SH.TBL05I","SH.TBL05E","SH.TBL06C","SH.TBL06E","SH.TBL07I","SH.TBL07E","SH.TBL08I","SH.TBL08E","SH.TBL09I","SH.TBL09E","SH.TBL10I","SH.TBL10E","SH.TBL11C","SH.TBL11I","SH.TBL11E","SH.TBL13I","SH.TBL13E","SH.TBL14C","SH.TBL14I","SH.TBL14E","SH.TBL15C","SH.TBL15I","SH.TBL15E"
"PVT1","PVT1",114.465433693814,1.35567896789061,0.202720342996199,6.68743426463139,2.27117172620602e-11,3.40015054428734e-08,5.88588805904932,6.54642005400935,6.15776821267187,5.62108797235687,6.32534301040502,6.33187049166773,5.94893535551477,6.13442206329095,6.17060445795659,5.96372137314048,6.88015042756017,6.26376762555774,6.20726522320813,7.12013715351715,6.94290711298146,6.30623010349176,6.35313817603879,6.40517816750951,6.79531312595538,6.78853495196161,6.27748095561592,7.29827934785164,7.17519333995222,6.91811516090181,6.86999554334153,7.31235757709478,6.52702354529857,6.93364112561908,7.09014732677095,6.89102055649276,6.57441608378732,7.40943010479015,7.34356566934575,7.0073574012912,7.1388359603477,6.98653138282115,7.06294255515794,7.01467681147777,7.1092277133262,6.82933461237504,6.52044984607988,6.99102354671535,6.81375837897662,6.35014647065661
"LTB","LTB",162.594782122053,1.97689944239087,0.297275594116336,6.65005631648737,2.92980895067357e-11,4.02067448330769e-08,6.21530664306933,5.88830786222649,6.64677754639445,6.13383207110261,6.73216034499476,6.80863179154352,6.20320816498517,6.16773339732931,6.10757885343777,6.05940558079737,6.70838424152057,6.11165519642846,6.11881421293856,8.08269533753933,7.20933995109572,6.62356664439229,5.84477432733991,6.35411743004831,7.32977957378425,7.32963723838043,6.31578551319748,7.76984690010668,7.5358034247404,7.46308067146633,7.34110981780842,7.48557246136262,6.17769643887573,7.89412630879274,7.69656931969841,7.1527373657044,6.98010208661542,8.13995687725814,8.37467536248697,7.86635603419693,7.48463976267287,7.52955385290351,7.44527536173762,7.73208317553173,7.46075682940674,6.95693445001433,6.31069838793919,7.26569784320628,6.76795705337392,6.71200753875597
"LY9","LY9",225.438715953843,1.51207043839796,0.228234411081004,6.62507652214328,3.47068337956413e-11,4.39655491497401e-08,6.45296667896949,6.96123083480896,7.58573912372532,6.74249376659579,7.24986760612275,7.32026882846718,6.75635585542202,7.14853174390805,6.9038095520504,6.83058154940692,7.36536087877504,7.03380460192574,6.70721541851735,8.19710871393354,7.90864122822059,7.25236027400564,6.81552399821689,7.23045843341255,8.08488889734555,7.97496955391059,7.04671965322646,8.27967026857483,8.00358094758894,8.09208697085568,8.00503126085958,7.98601851778047,7.15671966950403,8.21211243958627,8.1248777037386,7.9329340050741,7.60163679252666,8.1548766460359,8.30857852949065,8.65772518158339,8.40389133087534,8.44061528011219,7.81504922599088,7.8115963906083,7.77217456406527,7.5904414934749,7.17871319185328,7.76104463102635,7.34114586486748,7.29024130821315
"KEL","KEL",18.6334669711573,2.15368460612119,0.327066491789284,6.58485249998868,4.55337200641699e-11,4.96502279297419e-08,3.61332361296932,3.83960635672828,3.68306677330133,3.68572011908315,3.71808558347698,3.80402760299749,3.64811597803576,3.81193742021348,3.78168911652232,3.65234134411757,3.86600657302496,3.68340717701133,3.69033190182162,4.54089754137879,3.9203643125444,3.65223890842645,3.86431615564529,3.94374214531659,4.01605736626205,4.0831963188744,3.71326777401121,4.50172074319114,4.35209922645578,4.38107479966292,4.04397400437359,3.88772408257654,3.78064358443681,4.05949396698813,4.01693952526632,4.22767895309568,3.92548582158649,4.56310132343422,4.49454549628417,4.71949808244072,4.42617442545235,4.34851232708439,4.17156769151704,4.23866237759609,4.63177440799023,4.03659415791532,3.75081029069183,4.3110472893064,4.04154286819758,3.94615300171255
"DENND1C","DENND1C",160.805695242447,0.989527249344592,0.150293627470467,6.58396011859543,4.58080046711319e-11,4.96502279297419e-08,6.95063053979873,7.20315150940797,6.93795472566927,6.54481164197361,6.90450718045208,6.61122207266803,6.7458781588563,6.89667214440184,6.68685832355647,6.95791396936834,6.85209832496036,6.92511040727616,6.99583441039449,7.62363601688044,7.76949701531762,7.42097263312507,6.95145416986582,6.87347162690867,7.39423082002893,7.54003281227321,7.11075857687252,7.74311560570739,7.60865154661926,7.4345241023051,7.4678596681916,7.32061500791738,6.674644345668,7.48260024855225,7.33457860907817,7.30986553215789,7.38499421582882,7.64642964383177,7.60471385951933,7.66594406949688,7.73577037400375,7.73794152207588,7.54695971035116,7.12830200080442,7.7198084230441,7.21418108111262,6.98020728105197,7.21103526419909,7.10337623738838,7.12215157228138
"ZC3H12D","ZC3H12D",161.638672816713,1.79764218071436,0.273352804575668,6.57627121662381,4.82392304393898e-11,4.96502279297419e-08,5.99828188472562,6.24004078843275,6.62154652913033,5.97746862514101,6.79828525081456,6.51153117004619,6.03215824229159,6.5427826166476,6.11155130347754,6.27837818751121,7.21855136867995,6.31903315150813,6.27925465301235,7.71664648947567,7.5708614264528,6.65147651591242,6.26005799357234,6.50480460602213,7.3426454860438,7.36962213047195,6.33531659430836,7.8739839356252,7.72782366207811,7.6237605180858,7.5232192867237,7.50264893405007,6.32809030347981,7.47563820518036,7.46168787431375,7.25908014887075,7.02390231111768,7.89672877590971,7.70206376602955,7.99573797418249,7.79710384906005,7.84932136295555,7.74805827467688,7.67102517792216,7.62949087611723,7.21109988305061,6.52997927332576,7.18741755043173,6.93936251513516,6.36631669586902
"ADGRG5","ADGRG5",84.0485544587462,1.61580852779154,0.246512401738704,6.55467439526327,5.57634130509628e-11,5.40183462425444e-08,5.53400204834471,5.56698683749719,5.77881354761002,5.34897905069661,5.82878628305564,5.85613883727066,5.40190471117135,5.49513908379497,5.92513532179654,5.78901435289668,5.68194144940744,5.54041523048711,6.1006805656428,6.47808915212731,6.23530485118208,5.89723806384135,5.38900951750622,5.63195919619323,6.41601303968759,6.35226742734539,5.66820660799641,7.24344195254803,6.92212397058014,6.5432330567642,6.635171661352,6.44266083516917,5.83044674737616,6.50083887236317,6.70528027687482,6.43784056805183,6.23751482834776,7.01932144791434,6.88356150055419,6.79968632114293,6.79940712852289,6.65928147430305,6.38619466162125,6.22515430959616,6.2099031644846,6.1191393518707,6.00860662644116,6.34980924090013,6.22610676726457,6.15904546077103
"CD22","CD22",336.215734269934,1.50631344191117,0.231904034555155,6.49541714442624,8.28036498813129e-11,7.5756139235859e-08,7.63059129439781,8.30730287020781,7.82924808458616,7.20859114287387,7.47068218547628,7.40034496940065,7.21508778110376,7.88490356603916,7.17324390773712,7.17906415862251,7.59433926285081,7.91034358752317,7.14500075499755,8.24267010245905,8.40372731861708,7.76549731534824,8.28702591157074,8.06541477206872,8.55434014104212,8.49781824929185,7.63109486066081,9.16932933537714,8.9195725306598,8.53751002135861,8.52991245504099,8.45756363941092,7.26951408872699,8.69766543179042,8.47768041987076,8.65347781823564,8.30742154001005,9.18459816022612,9.22628495727089,8.83161938839393,8.6337235807847,8.63404317845705,8.66311611726943,8.7097660791893,8.35367561834284,8.13074130225197,7.97350275515875,8.31352226633502,7.7535997033954,7.45709255415432
"FCER2","FCER2",21.1421497551594,2.64267235363554,0.408033173827461,6.47661151873159,9.38052933959392e-11,7.81583930770609e-08,3.67580813328272,3.784424592579,3.71302557020063,3.68027392174734,3.81498380173149,3.92618694276351,3.67612969400789,3.6445124423733,3.71706025338873,3.64363670904193,3.84617155206272,3.67805642903473,3.68469394098834,4.0383008575441,4.44102894394385,3.81580614678644,3.67923181026742,3.90438732456824,4.15389557532299,4.23790121851425,3.67591922809901,4.91533808524209,4.74026171637519,4.56348131467941,4.28372738566679,4.32642663651638,3.71620394814866,4.25560966596671,4.35303447849069,4.22151994229835,3.88194106601484,4.8227127513694,4.6401601009657,4.66879531016667,4.35286397740739,4.15582363428345,4.8670322391359,5.01165695599093,3.74617092036481,4.15118877955361,3.6439092284616,4.41907431054405,3.84730462670675,3.84749987512214
"RP5-1171I10.5","RP5-1171I10.5",78.5898916767347,1.27640238849075,0.197167204659305,6.47370535427687,9.5628295505886e-11,7.81583930770609e-08,5.68117848668924,5.99132173806331,5.91956930433931,5.43281661083233,5.78331337488183,5.66762821710842,5.63521584335216,5.84419104541412,5.69857341504257,5.74214321269637,5.58097205021551,5.90846669953242,6.01625506328261,6.63963376610577,6.74119624810214,6.0886486548122,5.94919481892414,6.042781976982,6.32656584040615,6.2843003635096,5.69671548094794,6.81040494159775,6.73409688705904,6.37067339615696,6.31106539338697,6.16534542462701,5.56440481875837,6.33120598222581,6.48150627951978,6.24656154109555,6.31802019337017,6.91245452355845,6.29705000147434,6.70062973773026,6.5955050194298,6.68857593760506,6.55156639339115,6.10103028145741,6.50225533440742,6.09156485882867,6.1414391898358,5.88750263231887,6.21790018001389,5.91940094484069
